Indicator,Country,Year,Value
"Mortality caused by road traffic injury (per 100,000 people)","Oman","2013","25.4"
"Mortality caused by road traffic injury (per 100,000 people)","Oman","2016","16.1"
"Mortality caused by road traffic injury (per 100,000 people)","Pakistan","2013","14.2"
"Mortality caused by road traffic injury (per 100,000 people)","Pakistan","2016","14.3"
"Mortality caused by road traffic injury (per 100,000 people)","Palau","2013","4.78"
"Mortality caused by road traffic injury (per 100,000 people)","Palau","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Panama","2013","10"
"Mortality caused by road traffic injury (per 100,000 people)","Panama","2016","14.3"
"Mortality caused by road traffic injury (per 100,000 people)","Papua New Guinea","2013","16.8"
"Mortality caused by road traffic injury (per 100,000 people)","Papua New Guinea","2016","14.2"
"Mortality caused by road traffic injury (per 100,000 people)","Paraguay","2013","20.7"
"Mortality caused by road traffic injury (per 100,000 people)","Paraguay","2016","22.7"
"Mortality caused by road traffic injury (per 100,000 people)","Peru","2013","13.9"
"Mortality caused by road traffic injury (per 100,000 people)","Peru","2016","13.5"
"Mortality caused by road traffic injury (per 100,000 people)","Philippines","2013","10.5"
"Mortality caused by road traffic injury (per 100,000 people)","Philippines","2016","12.3"
"Mortality caused by road traffic injury (per 100,000 people)","Poland","2013","10.3"
"Mortality caused by road traffic injury (per 100,000 people)","Poland","2016","9.7"
"Mortality caused by road traffic injury (per 100,000 people)","Portugal","2013","7.8"
"Mortality caused by road traffic injury (per 100,000 people)","Portugal","2016","7.4"
"Mortality caused by road traffic injury (per 100,000 people)","Puerto Rico","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Puerto Rico","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Qatar","2013","15.2"
"Mortality caused by road traffic injury (per 100,000 people)","Qatar","2016","9.3"
"Mortality caused by road traffic injury (per 100,000 people)","Romania","2013","8.7"
"Mortality caused by road traffic injury (per 100,000 people)","Romania","2016","10.3"
"Mortality caused by road traffic injury (per 100,000 people)","Russian Federation","2013","18.9"
"Mortality caused by road traffic injury (per 100,000 people)","Russian Federation","2016","18"
"Mortality caused by road traffic injury (per 100,000 people)","Rwanda","2013","32.1"
"Mortality caused by road traffic injury (per 100,000 people)","Rwanda","2016","29.7"
"Mortality caused by road traffic injury (per 100,000 people)","Samoa","2013","15.8"
"Mortality caused by road traffic injury (per 100,000 people)","Samoa","2016","11.3"
"Mortality caused by road traffic injury (per 100,000 people)","San Marino","2013","3.2"
"Mortality caused by road traffic injury (per 100,000 people)","San Marino","2016","0"
"Mortality caused by road traffic injury (per 100,000 people)","Sao Tome and Principe","2013","31.1"
"Mortality caused by road traffic injury (per 100,000 people)","Sao Tome and Principe","2016","27.5"
"Mortality caused by road traffic injury (per 100,000 people)","Saudi Arabia","2013","27.4"
"Mortality caused by road traffic injury (per 100,000 people)","Saudi Arabia","2016","28.8"
"Mortality caused by road traffic injury (per 100,000 people)","Senegal","2013","27.2"
"Mortality caused by road traffic injury (per 100,000 people)","Senegal","2016","23.4"
"Mortality caused by road traffic injury (per 100,000 people)","Serbia","2013","7.7"
"Mortality caused by road traffic injury (per 100,000 people)","Serbia","2016","7.4"
"Mortality caused by road traffic injury (per 100,000 people)","Seychelles","2013","8.6"
"Mortality caused by road traffic injury (per 100,000 people)","Seychelles","2016","15.9"
"Mortality caused by road traffic injury (per 100,000 people)","Sierra Leone","2013","27.3"
"Mortality caused by road traffic injury (per 100,000 people)","Sierra Leone","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Singapore","2013","3.6"
"Mortality caused by road traffic injury (per 100,000 people)","Singapore","2016","2.8"
"Mortality caused by road traffic injury (per 100,000 people)","Sint Maarten (Dutch part)","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Sint Maarten (Dutch part)","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Slovak Republic","2013","6.6"
"Mortality caused by road traffic injury (per 100,000 people)","Slovak Republic","2016","6.1"
"Mortality caused by road traffic injury (per 100,000 people)","Slovenia","2013","6.4"
"Mortality caused by road traffic injury (per 100,000 people)","Slovenia","2016","6.4"
"Mortality caused by road traffic injury (per 100,000 people)","Solomon Islands","2013","19.2"
"Mortality caused by road traffic injury (per 100,000 people)","Solomon Islands","2016","17.4"
"Mortality caused by road traffic injury (per 100,000 people)","Somalia","2013","25.4"
"Mortality caused by road traffic injury (per 100,000 people)","Somalia","2016","27.1"
"Mortality caused by road traffic injury (per 100,000 people)","South Africa","2013","25.1"
"Mortality caused by road traffic injury (per 100,000 people)","South Africa","2016","25.9"
"Mortality caused by road traffic injury (per 100,000 people)","South Sudan","2013","27.9"
"Mortality caused by road traffic injury (per 100,000 people)","South Sudan","2016","29.9"
"Mortality caused by road traffic injury (per 100,000 people)","Spain","2013","3.7"
"Mortality caused by road traffic injury (per 100,000 people)","Spain","2016","4.1"
"Mortality caused by road traffic injury (per 100,000 people)","Sri Lanka","2013","17.4"
"Mortality caused by road traffic injury (per 100,000 people)","Sri Lanka","2016","14.9"
"Mortality caused by road traffic injury (per 100,000 people)","St. Kitts and Nevis","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","St. Kitts and Nevis","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","St. Lucia","2013","18.1"
"Mortality caused by road traffic injury (per 100,000 people)","St. Lucia","2016","35.4"
"Mortality caused by road traffic injury (per 100,000 people)","St. Martin (French part)","2013",".."
